tags,responses
Pendidikan_Profesional_Definition,"Pendidikan profesional adalah pendidikan yang diarahkan terutama pada kesiapan penerapan keahlian tertentu dan diselenggarakan oleh akademik, politeknik, sekolah tinggi, institut, dan universitas."
Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Unram_Definition,Universitas Mataram adalah perguruan tinggi negeri yang menyelenggarakan pendidikan akademik dan dapat menyelenggarakan pendidikan vokasi dalam berbagai rumpun ilmu pengetahuan dan/atau teknologi serta jika memenuhi syarat dapat menyelenggarakan pendidikan profesi.
Penasehat_Akademik_Definition,Penasehat Akademik (PA) adalah dosen yang membimbing mahasiswa agar dapat menyelesaikan studinya dengan baik.
Jaringan Syaraf Tiruan,"['Jaringan syaraf tiruan (JST) dalam Bahasa Inggris disebut dengan artificial neural network (ANN), atau juga disebut simulated neural network (SNN), atau umumnya hanya disebut neural network (NN), adalah jaringan dari sekelompok unit pemroses kecil yang dimodelkan berdasarkan sistem saraf manusia. JST merupakan sistem adaptif yang dapat mengubah strukturnya untuk menemukan solusi masalah berdasarkan informasi eksternal maupun internal yang mengalir melalui jaringan tersebut.']"
Fakultas_Definition,Fakultas adalah semua fakultas di lingkungan Universitas Mataram.
Tenaga_Kependidikan_Definition,Tenaga Kependidikan adalah anggota masyarakat yang mengabdikan diri dan diangkat untuk menunjang penyelenggaraan Pendidikan Tinggi.
Proyek Perangkat Lunak,"['Mata Kuliah ini memberikan pemahaman tentang konsep-konsep yang dipakai, kegiatan, dan proses dalam pembuatan perangkat lunak. Dimulai dari metode-metode yang terlibat dalam pembuatan perangkat lunak, kemudian memilih yang tepat untuk digunakan dalam sebuah studi kasus pembuatan perangkat lunak. Kemudian diajarkan juga untuk manajemen proyek dengan WBS dan tools manajemen project yang tersedia.']"
Program Studi_Definition,"Program Studi adalah kesatuan kegiatan pendidikan dan Pembelajaran yang memiliki Kurikulum dan metode Pembelajaran tertentu dalam satu jenis pendidikan akademik, pendidikan profesi, dan/atau pendidikan vokasi."
Mahasiswa_Baru_Definition,Mahasiswa baru adalah mahasiswa yang baru pertama kali terdaftar sebagai mahasiswa pada Universitas Mataram melalui seleksi masuk perguruan tinggi negeri sesuai dengan ketentuan yang berlaku.
MMahasiswa_Asing_Definition,"Mahasiswa asing adalah WNA yang mendaftar sebagai mahasiswa Universitas Mataram, yang telah memenuhi berbagai persyaratan yang ditentukan baik oleh Pemerintah Republik Indonesia maupun Universitas Mataram."
Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Keamanan Teknologi Informasi,"['Materi kuliah mencakup pengertian keamanan, pengertian sistem dan pengertian keamanan sistem, evaluasi keamanan sistem, mengamankan sistem informasi, keamanan email, keamanan web, eksploitasi keamanan sistem, cyber law, keamanan sistem wireless, manajemen keamanan informasi serta metode hacking dan security.']"
Ilmu Pengetahuan,"['Memiliki pengetahuan dasar yang kuat (matematika, komputasi, statistik, sistem komputer, dan jaringan) dan memecahkan masalah yang kompleks.', 'Memiliki pengetahuan dan keahlian sebagai analis data dan/atau insinyur data; pengembang sistem AI; pengembang IoT; pengembang sistem informasi; administrator sistem; dan administrator basis data.', 'Berpengalaman dalam mengatasi masalah-masalah lokal seperti sumber daya fisik dan sumber daya manusia; serta mampu memecahkan dan mengevaluasi masalah-masalah lokal dengan menggunakan teknologi canggih.']"
Pengantar Teknologi Informasi,"['Mata kuliah Pengantar Teknologi Informasi bertujuan agar mahasiswa memahami konsep dasar teknologi informasi, pengenalan dasar perkembangan computer, system computer, teknologi perangkat keras computer, teknologi perangkat lunak, teknologi komunikasi, manajemen internet dan web, e-commerce dan e-business, dan system pendukung keputusan sehingga mahasiswa dapat memahami dan memanfaatkan dalam penggunaan teknologi informasi.']"
Pendidikan_Definition,"Pendidikan adalah usaha sadar dan terencana untuk mewujudkan suasana belajar dan proses pembelajaran agar peserta didik secara aktif mengembangkan potensi dirinya untuk memiliki kekuatan spiritual keagamaan, pengendalian diri, kepribadian, kecerdasan, akhlak mulia, serta keterampilan yang diperlukan oleh dirinya, masyarakat, bangsa, dan negara."
Pemrosesan Paralel,['Mata kuliah yang membahas konsep arsitektur parallel computing dan pemrograman berbasis message passing interface (MPI) dan penerapannya dalam berbagai bidang komputasi modern.']
Pemrograman Internet,"['Mata Kuliah ini bertujuan untuk menjelaskan konsep dasar, protokol-protokol yang mengatur internet dan terminologi yang terkait dengannya. Selain itu, memperkenalkan konsep dasar pemrograman jaringan/internet dengan bahasa pemrograman Java dan mahasiswa mampu membuat aplikasi dengan kemampuan komunikasi data dengan basis client-server.']"
Pemrograman Berorientasi Objek,"['Matakuliah ini membahas bahasa pemrograman berorientasi objek sesuai dengan konsep abstraksi, modular, reusable, dan optimalisasi.']"
Kuliah Kerja Nyata,"['Kuliah Kerja Nyata (KKN) adalah suatu kegiatan perkuliahan dan kerja lapangan yang merupakan pengintegrasian dari pendidikan dan pengajaran, penelitian, dan pengabdian kepada masyarakat oleh mahasiswa secara pragmatis, berorientasi luas melalui pendekatan interdisipliner, komprehensif, dan lintas sektoral.']"
Dosen_Definition,"Dosen adalah pendidik profesional dan ilmuwan dengan tugas utama mentransformasikan, mengembangkan, dan menyebarluaskan ilmu pengetahuan, teknologi melalui pendidikan, penelitian, dan Pengabdian kepada Masyarakat."
penjelasan_sistem_blok,"Sistem blok berlaku hanya untuk Program Studi Pendidikan Dokter. Tujuan khususnya adalah mengintegrasikan semua disiplin ilmu kedokteran yang terkait dalam satu blok tertentu, dengan implementasi melalui beberapa model/kegiatan pembelajaran dengan menitikberatkan pada pembelajaran mandiri oleh mahasiswa (student-centered learning) dan meningkatkan motivasi mahasiswa untuk belajar secara terus-menerus (lifelong learning)"
Sistem_Kredit_Semester_Definition,"Sistem Kredit Semester adalah suatu sistem penyelenggaraan pendidikan dengan menggunakan satuan kredit semester (sks) untuk menyatakan beban studi mahasiswa, beban kerja dosen, dan beban penyelenggara"
Sistem Digital,"['Mata kuliah Sistem Digital bertujuan untuk membangkitkan kemampuan berpikir logis mahasiswa melalui hukum-hukum dan sarana rangkaian logika, serta penggunaannya dalam bidang teknik informatika. Materi yang dibahas pada mata kuliah ini meliputi: Sistem bilangan, Aljabar Boolean, Gerbang Logika, Penyederhanaan Fungsi, Logika Kombinasi, Flip-flop, dan Logika Sekuensial.']"
Respon_Terima_Kasih,"['Sama-sama! Senang bisa membantu Anda.', 'Dengan senang hati! Jika ada pertanyaan lain, jangan ragu untuk bertanya.', 'Terima kasih kembali! Semoga informasi ini bermanfaat.', 'Oke, semoga membantu! Jangan sungkan jika butuh bantuan lagi.', 'Senang bisa membantu, selamat melanjutkan aktivitas!', 'Sama-sama! Jika ada yang perlu ditanyakan lagi, saya siap membantu.', 'Baik! Jangan ragu untuk kembali jika ada yang ingin ditanyakan.']"
Probabilitas dan Statistika,"['Matakuliah ini membahas konsep statistik dan representasi data yang terdiri dari variabel random, distribusi data, dan sampling. Pengetahuan yang diperoleh dapat digunakan untuk menyelesaikan permasalahan yang berhubungan dengan pengolahan data, pengolahan sinyal digital, pemrosesan bahasa alami, dan lain-lain.']"
Pemrograman Bergerak,"['Mata kuliah ini mempelajari tentang konsep dasar pemrograman bergerak, Sistem Operasi Perangkat Bergerak, dan lingkungan pengembangannya. Dalam perkuliahan akan diajarkan bagaimana membangun perangkat bergerak yang terdiri dari antarmuka, pemrosesan data, sampai dengan pengaksesan perangkat keras dan library eksternal.']"
Pancasila,"['Mata kuliah Pancasila mengajarkan tentang Pancasila dan penjabaranannya agar mahasiswa dapat memahami, menghayati dan mengamalkan nilai-nilai Pancasila. Menghargai dan mengamalkan sistem kenegaraan Republik Indonesia berdasarkan UUD 1945 amandemen serta memahami usaha mewujudkan cita-cita bangsa Indonesia.']"
Organisasi dan Arsitektur Komputer,"['Mata kuliah ini mengajarkan tentang bagaimana prosesor mengeksekusi suatu program, teknik manajemen memori, teknik input output, struktur interkoneksi sistem bus, serta hubungan antara organisasi dan arsitektur komputer.']"
Mahasiswa_Lama_Definition,Mahasiswa lama adalah mahasiswa yang masih mempunyai hak sebagai mahasiswa Universitas Mataram dan mahasiswa pindahan sesuai dengan tahun angkatannya di perguruan tinggi asal
Mahasiswa_Definition,['Mahasiswa adalah peserta didik yang terdaftar dan belajar di Universitas Mataram.']
Komputer dan Masyarakat,['Mata kuliah ini bertujuan agar mahasiswa dapat memahami penggunaan dan perkembangan teknologi informasi dalam masyarakat dan dapat mengetahui bidang yang terkait dengan teknologi informasi.']
Kalkulus I,"['Mata kuliah Kalkulus I merupakan mata kuliah matematika yang paling dasar. Tujuan mata kuliah ini untuk membangun kemampuan memahami serta logika berfikir mahasiswa untuk menentukan Bilangan Real, Pertidaksamaan dan Nilai Mutlak, Sistem Koordinat, Grafik Persamaan, Fungsi dan Grafiknya, Operasi pada Fungsi, Fungsi trigonometri, Limit, Turunan, Penggunaan Turunan, Integral, Penggunaan Integral, Fungsi Transenden.']"
Aljabar Linier,['Mata kuliah Aljabar Linier memberikan pengetahuan kepada mahasiswa untuk menguasai teknik dasar dalam aljabar linier elementer serta menerapkannya dalam menyelesaikan masalah sistem linier.']
penjelasan_sistem_kredit_semester,"Sistem kredit semester menggunakan sks (Satuan Kredit Semester). Setiap semester memuat sejumlah mata kuliah atau blok atau kegiatan, yang masing-masing diberi bobot yang diukur dengan satuan kredit semester (sks)."
Tata Tulis Karya Ilmiah,"['Mata kuliah yang mengajarkan materi ejaan, tata kalimat, tata kalimat, istilah, silogisme, definisi, paragraf, perancangan karya tulis ilmiah, penyusunan kerangka, komponen karya tulis ilmiah, serta konvensi naskah.']"
Sistem Operasi,"['Mata kuliah ini mengajarkan tentang fungsi sistem operasi pada sistem komputer, manajemen proses, teknik-teknik penjadwalan proses, thread, dan penggunaan memori serta teknik pengalokasian memori.']"
Sikap,"['Memiliki kemampuan untuk memecahkan masalah kemanusiaan dan sosial, berpikiran terbuka, dan peduli terhadap etika akademik/profesi']"
Logika Informatika,['Mata kuliah Logika Informatika mengajarkan bagaimana mahasiswa menganalisis suatu argumen sesuai dengan metode-metode validitas argumen logika proposisional dan logika predikat.']
Kewirausahaan,"['Mata kuliah Kewirausahaan mengajarkan tentang beragam teknik-teknik untuk melakukan wirausaha dengan menerapkan teknologi informasi secara tepat guna. Setelah mengikuti kuliah ini, mahasiswa diharapkan mampu menerapkan beragam pola pikir dan strategi wirausaha berbasis teknologi informasi sehingga menghasilkan bidang usaha berbasis teknologi informasi yang bermanfaat bagi masyarakat umum.']"
Etika Profesi,"['Mata Kuliah ini bertujuan agar mahasiswa dapat menerapkan konsep etika dan profesionalisme, kode etik teknologi informasi, serta profesionalisme di bidang IT dengan baik.']"
Algoritma dan Pemrograman,['Mata kuliah ini bertujuan agar mahasiswa dapat mengimplementasikan algoritma dan pemrograman dalam kehidupan sehari-hari sehingga diperoleh mahasiswa yang cakap akan algoritma dan mudah dalam mengimplementasikannya bahkan pemrograman khususnya C++.']
cumlaude,"['IPK yang harus dicapai untuk mendapatkan predikat cumlaude mencapai IPK 3,51 (tiga koma lima satu) sampai dengan 4,00 (empat koma nol nol) dengan ketentuan, mata kuliah yang diulang paling banyak 3 (tiga) mata kuliah, tiap mata kuliah yang diulang maksimal 1 (satu) kali, nilai terendah dari seluruh mata pelajaran adalah B dan masa studi yang ditempuh n tahun ditambah 1 (satu) semester']"
Teori Bahasa dan Otomata,"['Teori bahasa dan otomata merupakan teori dasar bagi ilmu komputer. Terdiri dari teori automata, bahasa formal dan grammar, komputabilitas, dan kompleksitas. Mata kuliah ini mempelajari berbagai automata, dan bagaimana hubungannya dengan bahasa dan grammar.']"
Riset Operasional,"['Matakuliah ini memberikan pengetahuan mengenai model-model optimasi dan perumusannya serta keterampilan dalam memecahkan persoalan-persoalan teknik dan manajemen industri yang dapat dimodelkan secara kuantitatif (matematis), baik bersifat deterministik maupun probabilistik.']"
Rekayasa Perangkat Lunak,"['Mata kuliah ini bertujuan agar mahasiswa dapat membuat dokumen perangkat lunak dengan melakukan perencanaan, analisis, dan rancangan perangkat lunak dengan menggunakan metode/ paradigma pengembangan perangkat lunak sesuai dengan tujuan dari rekayasa perangkat lunak yang akan dibangun.']"
Pengolahan Citra Digital,"['Mata Kuliah ini mengajarkan mahasiswa untuk melakukan pengolahan citra dua dimensi secara digital menggunakan komputer dengan teknik-teknik yang sesuai. Konsep yang dibahas meliputi, akuisisi citra, ruang warna, histogram, konvolusi, perkalian citra, morfologi dan pengenalan ekstraksi citra.']"
Pendidikan Agama,"['Pendidikan Agama di Perguruan Tinggi bertujuan untuk membantu terbinyanya mahasiswa yang beriman dan bertaqwa kepada Tuhan Yang Maha Esa, berbudi pekerti luhur, berfikir filosofis, bersikap rasional, berpandangan luas, ikut serta mengembangkan dan memanfaatkan ilmu dan teknologi untuk kepentingan manusia. Mata kuliah Pendidikan Agama merupakan salah satu komponen yang tidak dapat dipisahkan dari kelompok mata kuliah Pengembangan Kepribadian dalam susunan kurikulum inti Perguruan Tinggi di Indonesia.']"
Pemrograman Web,"['Mata Kuliah ini mengajarkan pengetahuan mengenai konsep dasar internet dan pemrograman web, serta pemanfaatannya untuk mendistribusikan informasi. Diajarakan juga kemampuan pemrograman web untuk menyediakan dokumen dengan estetika yang baik.']"
Pemodelan dan Simulasi,"['Mahasiswa dapat mengerti dan memahami teori tentang algoritma untuk menyusun model-model yang dapat dimanipulasi. Polok Bahasan: Introduction to Modeling and Simulation, Discrete and Continuous Systems, Queuing Systems, Markov Chains, dan Analysis of Simulation Output.']"
Matematika Diskrit,['Mata kuliah ini mengajarkan tentang prinsip dasar beragam objek diskrit dan bagaimana cara mengolahnya sebagai dasar dari beragam ilmu teknik informatika.']
Mahasiswa_Pindahan_Definition,"Mahasiswa pindahan adalah mereka yang pindah dari program studi dalam satu fakultas, dan antar fakultas di lingkungan Universitas Mataram, serta dari dan ke perguruan tinggi negeri lain."
Kecerdasan Buatan,['Kecerdasan Buatan atau kecerdasan yang ditambahkan kepada suatu sistem yang bisa diatur dalam konteks ilmiah atau Artificial Intelligence didefinisikan sebagai kecerdasan entitas ilmiah.']
Kecakapan Antarpersonal,['Mata kuliah Kecakapan Antarpersonal mengajarkan tentang metode praktikal untuk berinteraksi secara strategis dengan orang lain sesuai dengan beragam prinsip dan etika yang berlaku di dalam dinamika interaksi antar personal sehingga interaksi yang terbangun dapat memperoleh hasil yang konstruktif bagi banyak pihak.']
Jurusan_Definition,"Jurusan adalah semua unsur pelaksana akademik yang melaksanakan pendidikan akademik dan/atau profesional dalam satu atau seperangkat ilmu pengetahuan, teknologi dan/atau kesenian tertentu di lingkungan Universitas Mataram."
Jaringan Komputer,"['Mata kuliah ini mengajarkan tentang cara mendesain topologi jaringan sederhana, melakukan konfigurasi peralatan jaringan, hingga melakukan simulasi jaringan sesuai dengan teori Jaringan Komputer.']"
Internet of Things (IoT),"['Matakuliah yang membahas konsep internet of things yaitu segala hal dengan micro-controller yang terhubung ke jaringan internet untuk melakukan berbagai fungsi seperti wireless sensor network, automation, sistem kontrol dan sebagainya.']"
Interaksi Manusia dan Komputer,"['Mata kuliah ini bertujuan agar mahasiswa dapat mempunyai pemahaman mengenai konsep interaksi manusia dan komputer secara keseluruhan yang berhubungan dengan mendesain, mengevaluasi, dan mengaplikasikan user interface.']"
Algoritma dan Struktur Data,"['Mata kuliah ini mengajarkan berbagai macam struktur data umum yang dapat diimplementasikan dalam program komputer. Bahasan struktur data mencakup Abstract Data Type (ADT), list (linked list) dan variansinya, tumpukan (stack), antrian (queue), pohon (tree) dan graf.']"
Sistem Informasi Enterprise,['Mata kuliah ini disusun untuk memberikan pemahaman yang sepenuhnya kepada mahasiswa mengenai konsep Sistem Informasi Enterprise (SIE) beserta peranannya di organisasi dan tantangan-tantangan yang dihadapi dalam pengelolaan SIE.']
Sistem Berkas,"['Matakuliah ini membahas Konsep dasar berkas, Blocking dan buffering, Penyimpanan data, Organisasi berkas primer, Berkas langsung, Manajemen kolisi, Organisasi berkas sekunsial berindeks, File Berindeks, dan Pengurutan rekaman.']"
Salam,"['Halo! Selamat datang di website Universitas Mataram, ada yang bisa kami bantu?', 'Hai, terima kasih sudah mengunjungi Universitas Mataram. Bagaimana kami bisa membantu Anda hari ini?', ""Assalamu'alaikum! Selamat datang di Universitas Mataram, apa yang bisa kami bantu?"", 'Selamat datang di Universitas Mataram! Apakah ada informasi yang Anda butuhkan?', 'Halo! Universitas Mataram siap membantu Anda. Silakan tanyakan apa pun yang ingin Anda ketahui.', 'Hai! Apa kabar? Kami senang bisa membantu Anda di Universitas Mataram.', 'Selamat datang di website resmi Universitas Mataram, kami siap membantu kebutuhan informasi Anda.']"
Metode Numerik,['Mata kuliah ini bertujuan untuk memberikan pemahaman tentang metode-metode numerik untuk menyelesaikan masalah-masalah teknik dengan bantuan komputer.']
Analisis dan Perancangan Jaringan,"['Analisis dan perancangan jaringan sangat penting khususnya pada fase awal sebagai pedoman dalam implementasi jaringan yang kompleks. Materi kuliah mencakup: teknik pengumpulan kebutuhan, analisis gap, dan teknik perancangan jaringan.']"
Analisis dan Perancangan Berorientasi Objek,"['Mata kuliah ini membahas metode pengembangan Software Development Life Cycle (SDLC), konsep berorientasi objek, model kebutuhan: use case model, analisis arsitektur perangkat lunak, analisis use case, dan pengetahuan tentang metodologi objekt lainnya.']"
tujuan_sistem_kredit_semester_dan_sistem_blok,"Tujuan umum penerapan Sistem Kredit Semester dan Sistem Blok adalah agar Universitas dapat memenuhi tuntutan pembangunan, memungkinkan penyajian program yang bervariasi dan fleksibel sehingga memberi kemungkinan yang lebih luas kepada mahasiswa untuk memilih program yang sesuai dengan minat dan kemampuannya."
Tata Kelola IT,['Mata kuliah ini bertujuan agar mahasiswa dapat merancang Tata Kelola Teknologi Informasi di perusahaan atau instansi dengan melakukan analisis menggunakan framework COBIT versi terbaru.']
Sistem Terdistribusi,"['Mata Kuliah ini bertujuan untuk memperkenalkan prinsip-prinsip, teknik-teknik dan metode-metode pada komputasi terdistribusi dengan kehandalan dan kekuatan yang cukup sebagai dasar untuk eksplorasi terhadap topik yang lebih spesifik.']"
Sistem Informasi,"['Mata kuliah ini bertujuan agar mahasiswa dapat mendesain Sistem Informasi dengan menganalisis masalah dan kebutuhan SI, memproyeksikan desain, serta melakukan testing terhadap Sistem Informasi.']"
Sistem Basis Data,"['Mata kuliah ini memberikan pengetahuan mengenai Konsep Dasar Basis Data, Sistem & Arsitektur Basis Data, Pemodelan Data menggunakan ER Diagram, Model Relasional, Normalisasi Database, dan SQL Query.']"
Riset Teknologi Informasi,"['Materi kuliah ini membahas penulisan dokumen penelitian, meliputi penyusunan kerangka penelitian, penyusunan rumusan masalah, metodologi penelitian, akuisisi data penelitian, analisa data, tata tulis karya ilmiah, dan pemahaman proses publikasi karya ilmiah.']"
Praktek Kerja Lapangan,['Praktek Kerja Lapangan merupakan matakuliah wajib yang harus diikuti setiap mahasiswa dalam rangka pengembangan pengetahuan mahasiswa dengan luaran Laporan PKL dan Makalah Publikasi pengabdian pada masyarakat.']
Pengenalan Pola,['Matakuliah Pengenalan pola (pattern recognition) merupakan matakuliah pilihan yang mempelajari Teknik penentuan suatu objek fisik/data/kejadian atau kejadian ke dalam salah satu atau beberapa kategori.']
Pemrograman Visual,['Mata kuliah ini memberikan pengetahuan kepada mahasiswa tentang manfaat penggunaan bahasa pemrograman dalam membuat aplikasi secara visual. Mahasiswa diharapkan mampu membuat aplikasi visual dengan mengkombinasikan bahasa pemrograman yang telah dipelajari.']
Jaringan Komputer Lanjut,['Mata kuliah Jaringan Komputer Lanjut membahas tentang teknologi implementasi pada jaringan komputer; teori komunikasi data lanjutan serta routing statik dan dinamik.']
Big Data,"['Matakuliah yang membahas konsep data besar yang terdiri dari Volume (ukuran), Variety (variasi), Velocity (Kecepatan) dan Veracity (Kekauratan) dari data tersebut. Juga membahas framework big data berbasis Hadoop dan pemrograman algoritma pemrosesan big data berbasis spark.']"
Logika Fuzzy,"['Mata kuliah ini bertujuan agar mahasiswa dapat mengimplementasikan metode-metode dalam Logika Fuzzy untuk menyelesaikan permasalahan-permasalahan yang sederhana maupun kompleks. Dimulai dari Fuzzy Inference System, Fuzzy Database, Fuzzy Quantification Theory, dan Hybrid Fuzzy dengan Artificial Intelligence.']"
